1	Hiked Precipice this morning. Rungs were icy near the top, would not do it without microspikes until it warms up.
1	Lake Marie trail still snowed in above 10,500 ft. Postholing past the second switchback, bring snowshoes.
1	Heads up: the footbridge over the Swift River on the Mt Tom trail is out. Crossing was knee deep after yesterday's rain.
1	Blowdown everywhere on the Bigelow Range trail after Tuesday's wind. Counted 30+ trees between Horns Pond and the col.
1	Trail conditions update: Angel's Landing chains are dry, crowds light before 8am, permit checked at Scout Lookout.
1	Mud season is real on the Long Trail. Ankle deep from Route 17 to the shelter, please stay on the treadway.
1	Just got back from Medicine Bow Peak. Trail clear of snow, wind was brutal on the summit ridge, 40+ mph gusts.
1	Road to the trailhead is washed out 2 miles below the lot. Had to park at the gate and walk up.
1	Mosquitoes are horrendous at Titcomb Basin right now. Headnets essential, trail itself in great shape.
1	The Katahdin Hunt Trail is closed today due to high winds per the ranger at Katahdin Stream.
1	Water crossing at Wildcat Brook was waist high this afternoon, we turned around. Give it a few dry days.
1	Kings Peak summit today via Henry's Fork. Some lingering snow on Gunsight Pass but easy to walk around.
1	Trailhead lot was full by 7:15 am on Saturday, overflow parking on the shoulder being ticketed.
1	Ice on the Franconia Ridge this morning, the rocks near Little Haystack were glazed. Spikes and poles needed.
1	Went up Mount Washington via Tuckerman Ravine, the headwall trail is closed for the season, used Lion Head.
1	Smoke from the fire north of us made visibility poor on the Teton Crest today, air quality felt bad by noon.
1	Delicate Arch trail is fine but the slickrock was super hot by 11. Bring more water than you think.
1	Several trees down across the Beehive trail after the storm, passable with some scrambling around them.
1	Snowbridges on the Wind River approach are getting sketchy, stream audible under them. Crossed early.
1	Fresh rockfall on the trail below the saddle, a few large blocks in the path. Watch your step.
1	Bugs were bad at the lake but the trail was dry all the way to the pass. Wildflowers peaking.
1	Section of the Appalachian Trail near Dragon's Tooth is rerouted, follow the orange flagging.
1	Avalanche debris across the summer trail at mile 3. Firm in the morning, soft by afternoon.
1	Trail report: Old Rag rock scramble dry, line at the chimney about 20 minutes around noon.
1	The creek crossing on the Hellroaring trail is running high and fast with snowmelt. Unsafe to ford today.
1	Grinnell Glacier trail open to the lake as of this morning, snow on the last half mile, poles helpful.
1	Got to the Chimney Pond trailhead and the road was closed at Roaring Brook for washout repairs.
1	Just a note that the switchbacks on the east side are severely eroded after the storms. Loose gravel, slow going.
1	Summit of Timp this morning. Snowfield below the saddle is still there and firm early, ice axe recommended.
1	Parking lot at the Cascade Pass trailhead is full, cars parked a quarter mile down the road.
1	Microspikes were enough today on the Mount Monadnock White Dot trail, ice under light snow on the ledges.
1	Hiked the Narrows bottom up this morning. Water was thigh deep and cold, flow was about 60 cfs.
1	Blowdowns cleared on the Hamilton Mountain trail, thanks to the crew. Trail in good shape now.
1	The upper trail is covered in slick mud and roots, took us twice as long as usual.
1	Bear activity reported at the campground, rangers closed sites 12 to 20. Trail still open.
1	Trail to the fire tower is officially closed for bridge repair, detour via the north loop adds a mile.
1	Wind chill near zero on the ridge today, rime ice on every cairn. Full winter gear needed above treeline.
1	Chains on Angels Landing were icy this morning, rangers were turning people back at Scout Lookout.
1	Spring runoff has the Big Cottonwood trail flooded in a couple spots, waterproof boots recommended.
1	Went up Pikes Peak via Barr Trail today. Snow above Barr Camp, packed out and fine with spikes.
1	Downed tree blocking the trail at mile 1.8, you can climb over but not with a heavy pack.
1	Trailhead gate at Moose Brook is locked until May 15, add 1.5 miles of road walking.
1	Rattlesnake on the trail near the second overlook this afternoon, keep an eye out.
1	Did the Enchantments thru today. Aasgard Pass loose and dry, snow gone from the core zone.
1	Beaver dam flooding on the lower trail, the boardwalk is under a foot of water.
1	Summit trail is a sheet of ice from treeline up. Turned around at the second cairn. Crampons, not spikes.
1	The Huckleberry trail had a lot of washouts after last night's thunderstorm. Bridge at the creek is fine.
1	Snowmobiles have packed the trail to the pond, easy walking with spikes this weekend.
1	Hiking the Presidential traverse today, cloud cap and 50 mph winds on Madison, we bailed via Valley Way.
1	Found the trail markers painted over for the reroute near the quarry. Signs are posted at both ends.
1	Trail crews working on the Skyline trail this week, expect short delays near the stairs.
1	The Half Dome cables are down for the season as of today.
1	Heavy snow overnight, about 8 inches at the trailhead and more above. Nobody has broken trail yet.
1	Muddy and wet on the lower half, dry and dusty above the junction. Lots of hikers today.
1	Fording the North Fork was chest deep, not recommended. Took the high route instead.
1	Poison ivy has overgrown the first half mile of the river trail, long pants recommended.
1	Water source at the spring is dry. Carry everything you need from the trailhead.
1	Stairs on the Mist Trail are wet and slippery with spray from the falls, take it slow.
1	The ladders on the Beehive are solid, but the rungs near the top were wet with fog this morning.
1	Tick check after the meadow section, picked off four on the way back to the car.
1	Rim trail closed between the two viewpoints because of rockfall, rangers posted signs.
